Category: All categories

Month,Kim Kardashian: (Worldwide),Khloé Kardashian: (Worldwide),Kourtney Kardashian: (Worldwide),Kendall Jenner: (Worldwide),Kylie Jenner: (Worldwide)
2007-01,2,<1,<1,<1,2
2007-02,12,<1,<1,<1,2
2007-03,9,<1,<1,<1,1
2007-04,6,<1,<1,<1,1
2007-05,6,<1,<1,<1,2
2007-06,5,<1,<1,<1,1
2007-07,6,<1,<1,<1,1
2007-08,6,<1,<1,<1,1
2007-09,7,<1,<1,<1,1
2007-10,13,1,<1,<1,2
2007-11,17,1,<1,<1,2
2007-12,16,1,1,<1,2
2008-01,12,1,<1,<1,2
2008-02,9,<1,<1,<1,2
2008-03,13,1,<1,<1,2
2008-04,15,1,<1,<1,2
2008-05,14,1,<1,<1,2
2008-06,13,1,<1,<1,2
2008-07,12,1,<1,<1,2
2008-08,15,1,<1,<1,1
2008-09,14,1,<1,<1,1
2008-10,13,1,<1,<1,1
2008-11,11,<1,<1,<1,1
2008-12,12,1,<1,<1,1
2009-01,11,1,<1,<1,1
2009-02,11,1,<1,<1,1
2009-03,13,2,1,<1,1
2009-04,15,1,1,<1,1
2009-05,14,1,1,<1,1
2009-06,12,1,1,<1,1
2009-07,14,1,1,<1,1
2009-08,15,3,4,<1,1
2009-09,13,7,3,<1,1
2009-10,13,4,2,<1,1
2009-11,13,3,2,<1,1
2009-12,15,4,3,<1,1
2010-01,17,3,2,1,1
2010-02,18,3,3,1,1
2010-03,18,2,2,<1,1
2010-04,25,2,2,<1,1
2010-05,19,2,1,1,1
2010-06,20,4,3,1,1
2010-07,21,4,3,2,2
2010-08,25,4,4,2,2
2010-09,25,3,2,1,1
2010-10,27,3,2,1,1
2010-11,21,2,2,1,1
2010-12,25,3,2,1,1
2011-01,25,4,3,1,1
2011-02,33,3,3,1,1
2011-03,21,2,2,1,1
2011-04,18,3,2,1,1
2011-05,22,3,2,1,1
2011-06,25,5,2,1,1
2011-07,22,3,2,1,1
2011-08,45,4,3,3,2
2011-09,28,3,2,2,2
2011-10,35,3,2,1,1
2011-11,49,4,3,2,2
2011-12,30,4,5,2,2
2012-01,27,7,4,2,2
2012-02,25,4,3,2,1
2012-03,25,4,3,2,2
2012-04,27,5,3,2,2
2012-05,26,5,3,2,2
2012-06,31,3,4,2,2
2012-07,26,4,7,3,2
2012-08,27,3,4,3,2
2012-09,25,4,4,2,2
2012-10,24,4,3,2,2
2012-11,24,5,3,2,2
2012-12,28,3,2,2,2
2013-01,35,5,3,2,2
2013-02,28,3,3,2,2
2013-03,32,4,3,2,3
2013-04,34,4,3,3,3
2013-05,31,3,2,3,3
2013-06,62,4,3,3,3
2013-07,29,5,3,3,4
2013-08,27,7,4,3,5
2013-09,22,7,2,2,3
2013-10,33,6,2,3,3
2013-11,28,5,2,8,4
2013-12,26,6,2,6,3
2014-01,24,6,2,5,4
2014-02,22,5,2,7,4
2014-03,23,5,2,4,4
2014-04,23,5,2,4,4
2014-05,36,5,2,5,6
2014-06,31,6,5,6,6
2014-07,33,6,3,5,5
2014-08,34,5,3,5,7
2014-09,44,5,3,6,6
2014-10,27,4,2,4,7
2014-11,100,8,4,5,8
2014-12,37,7,8,6,8
2015-01,32,6,4,6,10
2015-02,39,7,3,7,13
2015-03,35,5,3,6,11
2015-04,29,5,3,10,28
2015-05,31,5,3,9,17
2015-06,34,5,3,8,15
2015-07,30,8,8,8,18
2015-08,32,7,4,8,26
2015-09,27,5,3,7,20
2015-10,26,13,5,7,14
2015-11,23,8,4,11,19
2015-12,35,8,8,9,20
2016-01,25,8,5,11,16
2016-02,27,8,3,8,17
2016-03,43,6,4,8,16
2016-04,24,6,3,8,20
2016-05,23,6,3,7,21
2016-06,23,7,3,7,18
2016-07,28,7,4,7,20
2016-08,25,5,3,7,21
2016-09,24,5,3,6,16
2016-10,41,6,2,5,16
2016-11,19,5,2,7,18
2016-12,20,4,3,6,19
2017-01,19,5,3,5,16
2017-02,16,4,2,4,13
2017-03,14,4,2,4,11
2017-04,20,4,3,9,13
2017-05,17,4,4,6,12
2017-06,15,5,2,4,12
2017-07,16,3,2,4,12
2017-08,14,3,2,4,15
2017-09,16,6,2,4,31
2017-10,18,6,3,5,15
2017-11,20,5,3,4,13
2017-12,15,7,3,3,15
2018-01,22,6,3,4,18
2018-02,20,6,3,5,37
2018-03,15,5,3,4,12
2018-04,17,25,3,4,11
2018-05,17,8,2,6,13
2018-06,16,5,2,4,8
2018-07,15,4,3,4,17
2018-08,17,5,5,5,13
2018-09,14,3,3,6,9
2018-10,14,3,2,3,8
2018-11,15,5,2,4,9
2018-12,13,4,2,4,9
2019-01,13,3,2,4,10
2019-02,13,9,2,5,14
2019-03,11,8,2,3,13
